id;start_date;end_date;language
1;2020-07-05T02:26:19;2020-07-05T00:16:34;SPANISH
2;2020-07-04T07:16:30;2020-07-05T02:20:55;SPANISH
3;2020-07-04T22:11:49;2020-07-04T08:45:58;FRENCH
4;2020-07-04T13:29:20;2020-07-05T01:00:46;FRENCH
5;2020-07-04T22:59:38;2020-07-05T03:46:37;FRENCH
6;2020-07-04T16:51:59;2020-07-05T05:00:13;FRENCH
7;2020-07-04T18:37:19;2020-07-04T12:28:10;FRENCH
8;2020-07-04T17:33:32;2020-07-05T03:49:40;SPANISH
9;2020-07-04T16:14:41;2020-07-04T12:56:04;SPANISH
10;2020-07-05T00:26:45;2020-07-04T11:01:15;SPANISH
